Date,Revenue
2016-04-27,313
2014-05-17,1897
2016-05-17,1562
2014-05-24,907
2016-05-24,907
2014-05-16,984
2016-05-16,787
2013-08-14,1999
2015-08-14,1646
2013-10-25,1176
2015-10-25,1058
2013-11-15,588
2015-11-15,706
2014-03-13,706
2016-03-13,353
2014-04-14,823
2016-04-14,823
2013-09-17,374
2015-09-17,374
2014-01-20,713
2016-01-20,713
2013-09-09,1069
2015-09-09,1307
2013-09-28,950
2015-09-28,594
2013-09-02,119
2015-09-02,238
2013-09-21,594
2015-09-21,238
2014-03-02,655
2016-03-02,562
2013-11-05,722
2015-11-05,722
2013-09-19,356
2015-09-19,119
2014-07-31,706
2016-07-31,605
2014-03-01,619
2016-03-01,516
2014-07-29,893
2016-07-29,1116
2014-05-14,475
2016-05-14,119
2013-11-08,492
2015-11-08,295
2014-01-26,2995
2016-01-26,3226
2014-05-06,230
2016-05-06,115
2014-02-14,418
2016-02-14,418
2013-11-22,1037
2015-11-22,691
2013-08-28,722
2015-08-28,619
2013-09-06,1307
2015-09-06,950
2014-06-11,3089
2016-06-11,3208
2013-11-24,713
2015-11-24,950
2014-06-28,2401
2016-06-28,2610
2014-05-20,353
2016-05-20,118
2013-10-18,823
2015-10-18,823
2014-02-14,950
2016-02-14,594
2013-12-27,310
2015-12-27,413
2014-02-21,413
2016-02-21,619
2013-09-05,588
2015-09-05,235
2014-05-09,588
2016-05-09,235
2014-05-06,1529
2016-05-06,1176
2014-05-02,907
2016-05-02,605
2013-09-08,1032
2015-09-08,722
2014-02-01,713
2016-02-01,594
2013-12-15,468
2015-12-15,655
2014-04-22,664
2016-04-22,379
2014-01-10,907
2016-01-10,806
2013-07-15,1008
2015-07-15,907
2014-05-08,2117
2016-05-08,1764
2013-08-16,335
2015-08-16,558
2013-10-10,187
2015-10-10,94
2013-12-30,655
2015-12-30,562
2014-04-29,94
2016-04-29,94
2014-07-18,950
2016-07-18,1188
2013-10-21,346
2015-10-21,115
2014-06-10,223
2016-06-10,223
2014-03-10,98
2016-03-10,197
2014-05-03,1411
2016-05-03,1646
2014-04-27,594
2016-04-27,832
2014-04-20,238
2016-04-20,119
2013-10-23,403
2015-10-23,202
2013-09-11,374
2015-09-11,468
2014-06-25,2940
2016-06-25,2587
2014-05-22,941
2016-05-22,941
2014-06-09,235
2016-06-09,118
2014-03-10,594
2016-03-10,713
2013-09-26,468
2015-09-26,655
2014-04-17,2650
2016-04-17,2534
2014-05-15,461
2016-05-15,115
2014-02-01,223
2016-02-01,112
2014-04-29,115
2016-04-29,115
2013-09-11,1058
2015-09-11,1058
2014-07-10,941
2016-07-10,706
2013-12-29,832
2015-12-29,713
2014-06-26,2614
2016-06-26,2614
2014-03-28,840
2016-03-28,600
2014-06-28,691
2016-06-28,461
2014-02-26,853
2016-02-26,948
2014-07-29,2189
2016-07-29,1843
2014-07-14,1673
2016-07-14,1673
2013-11-19,235
2015-11-19,353
2014-04-06,691
2016-04-06,806
2014-06-21,2650
2016-06-21,2765
2014-05-22,365
2016-05-22,182
2014-05-04,1116
2016-05-04,781
2013-12-07,2066
2015-12-07,2165
2013-08-25,182
2015-08-25,182
2013-10-01,346
2015-10-01,115
2014-01-03,394
2016-01-03,590
2013-10-26,886
2015-10-26,984
2013-10-13,731
2015-10-13,940
2013-11-24,1044
2015-11-24,1253
2013-11-25,522
2015-11-25,731
2014-05-02,1188
2016-05-02,1069
2014-03-09,115
2016-03-09,115
2014-03-14,522
2016-03-14,313
2013-12-01,691
2015-12-01,691
2014-06-30,1138
2016-06-30,1232
2014-02-28,1764
2016-02-28,1882
2014-05-13,950
2016-05-13,1069
2014-05-03,1870
2016-05-03,1574
2013-08-08,594
2015-08-08,713
2014-03-18,689
2016-03-18,886
2014-04-18,787
2016-04-18,492
2014-03-01,638
2016-03-01,365
2013-08-28,713
2015-08-28,713
2014-03-25,655
2016-03-25,562
2013-12-31,1404
2015-12-31,1123
2014-04-13,594
2016-04-13,238
2014-04-30,713
2016-04-30,594
2013-10-03,806
2015-10-03,806
2014-02-28,295
2016-02-28,295
2014-05-05,594
2016-05-05,832
2014-01-27,284
2016-01-27,95
2013-10-23,941
2015-10-23,1058
2014-06-05,492
2016-06-05,492
2013-11-21,922
2015-11-21,806
2013-08-25,356
2015-08-25,238
2014-01-20,984
2016-01-20,689
2013-09-19,209
2015-09-19,104
2013-11-13,842
2015-11-13,655
2014-05-03,235
2016-05-03,353
2014-07-04,187
2016-07-04,187
2013-09-18,706
2015-09-18,588
2014-04-10,353
2016-04-10,470
2014-03-09,235
2016-03-09,118
2014-05-05,470
2016-05-05,118
2014-06-16,2614
2016-06-16,2376
2014-04-23,1217
2016-04-23,1217
2013-10-02,619
2015-10-02,619
2013-08-18,619
2015-08-18,619
2013-09-08,230
2015-09-08,115
2013-09-03,576
2015-09-03,691
2013-08-23,461
2015-08-23,115
2013-10-03,1037
2015-10-03,1037
2013-10-25,691
2015-10-25,691
2013-09-14,731
2015-09-14,731
2014-06-14,197
2016-06-14,98
2013-08-28,806
2015-08-28,1037
2014-03-04,758
2016-03-04,664
2014-01-05,103
2016-01-05,206
2014-06-24,353
2016-06-24,588
2014-02-21,655
2016-02-21,562
2014-03-18,823
2016-03-18,588
2014-06-05,706
2016-06-05,941
2013-11-28,936
2015-11-28,655
2014-06-19,2527
2016-06-19,2434
2013-12-27,470
2015-12-27,588
2014-02-04,619
2016-02-04,826
2014-05-22,1961
2016-05-22,1858
2013-10-20,706
2015-10-20,706
2013-11-24,235
2015-11-24,118
2014-02-01,353
2016-02-01,470
2014-06-03,588
2016-06-03,353
2013-10-03,929
2015-10-03,722
2014-05-16,413
2016-05-16,206
2013-10-27,418
2015-10-27,418
2013-07-22,470
2015-07-22,353
2013-10-10,353
2015-10-10,235
2013-08-14,1558
2015-08-14,1247
2013-12-28,1091
2015-12-28,1402
2013-08-29,935
2015-08-29,1091
2013-10-09,534
2015-10-09,267
2014-03-12,157
2016-03-12,157
2014-01-21,744
2016-01-21,372
2013-08-11,787
2015-08-11,1102
2014-07-12,1417
2016-07-12,1417
2013-09-05,157
2015-09-05,315
2013-11-25,787
2015-11-25,787
2014-02-20,916
2016-02-20,763
2013-11-24,1558
2015-11-24,1714
2014-04-28,1259
2016-04-28,787
2013-08-03,467
2015-08-03,779
2013-09-13,763
2015-09-13,611
2014-01-30,1558
2016-01-30,1402
2013-08-09,628
2015-08-09,251
2013-10-11,560
2015-10-11,560
2013-09-08,944
2015-09-08,1259
2013-12-19,1574
2015-12-19,1732
2013-08-24,312
2015-08-24,156
2014-04-06,935
2016-04-06,623
2013-09-12,1202
2015-09-12,1336
2014-05-13,935
2016-05-13,801
2014-07-26,134
2016-07-26,134
2013-12-05,1247
2015-12-05,779
2013-11-10,623
2015-11-10,623
2013-09-27,157
2015-09-27,157
2014-03-25,157
2016-03-25,157
2014-07-14,467
2016-07-14,623
2013-11-17,248
2015-11-17,496
2013-12-19,251
2015-12-19,126
2013-09-10,1240
2015-09-10,1116
2013-08-17,1221
2015-08-17,916
2014-05-04,553
2016-05-04,138
2014-03-21,134
2016-03-21,134
2014-02-21,611
2016-02-21,458
2013-12-19,1374
2015-12-19,1526
2013-10-15,1116
2015-10-15,1116
2013-10-25,138
2015-10-25,415
2014-05-31,138
2016-05-31,138
2014-07-24,692
2016-07-24,277
2014-06-15,1304
2016-06-15,1304
2014-07-06,1202
2016-07-06,1336
2013-11-11,1107
2015-11-11,1245
2013-11-13,830
2015-11-13,553
2014-04-03,315
2016-04-03,315
2013-08-29,1107
2015-08-29,1245
2014-02-07,692
2016-02-07,553
2013-11-05,968
2015-11-05,1245
2014-05-22,415
2016-05-22,415
2014-07-23,391
2016-07-23,261
2013-10-03,1558
2015-10-03,1558
2013-11-15,1247
2015-11-15,1402
2013-12-08,124
2015-12-08,124
2014-05-10,1402
2016-05-10,1714
2013-12-26,1558
2015-12-26,1402
2014-03-17,305
2016-03-17,611
2014-04-28,1068
2016-04-28,1221
2014-02-13,391
2016-02-13,261
2013-10-04,1479
2015-10-04,1627
2014-05-03,261
2016-05-03,391
2014-07-12,916
2016-07-12,611
2014-02-18,830
2016-02-18,415
2014-06-01,1005
2016-06-01,879
2013-08-12,267
2015-08-12,134
2014-03-17,1383
2016-03-17,1107
2014-05-17,1526
2016-05-17,1526
2014-04-11,787
2016-04-11,630
2013-12-19,692
2015-12-19,968
2014-01-26,377
2016-01-26,502
2013-08-23,968
2015-08-23,830
2014-02-19,1383
2016-02-19,1383
2013-09-19,1068
2015-09-19,935
2013-12-07,684
2015-12-07,273
2013-11-24,467
2015-11-24,467
2014-01-28,1091
2016-01-28,779
2013-10-15,153
2015-10-15,153
2013-10-19,787
2015-10-19,944
2013-08-05,124
2015-08-05,248
2014-07-26,124
2016-07-26,124
2014-04-15,315
2016-04-15,157
2013-12-09,134
2015-12-09,134
2014-06-29,623
2016-06-29,156
2013-09-04,1383
2015-09-04,1383
2014-06-03,1259
2016-06-03,1574
2014-03-22,744
2016-03-22,496
2014-05-29,763
2016-05-29,611
2014-03-09,830
2016-03-09,692
2014-01-24,692
2016-01-24,415
2014-02-14,1558
2016-02-14,1091
2014-06-05,1374
2016-06-05,916
2014-06-26,458
2016-06-26,305
2014-04-12,157
2016-04-12,472
2014-04-27,879
2016-04-27,754
2013-12-29,652
2015-12-29,522
2014-06-18,467
2016-06-18,467
2013-12-13,1256
2015-12-13,1256
2014-01-13,1102
2016-01-13,1102
2014-01-23,935
2016-01-23,935
2014-06-22,156
2016-06-22,156
2013-08-24,372
2015-08-24,124
2014-03-21,868
2016-03-21,744
2014-03-14,868
2016-03-14,496
2014-04-14,820
2016-04-14,1094
2013-11-21,787
2015-11-21,1102
2014-04-23,1558
2016-04-23,1714
2013-10-19,391
2015-10-19,130
2014-05-25,763
2016-05-25,763
2013-08-04,611
2015-08-04,611
2014-04-24,296
2016-04-24,148
2014-02-15,763
2016-02-15,611
2013-10-05,1159
2015-10-05,1417
2013-09-08,801
2015-09-08,801
2013-11-18,1068
2015-11-18,801
2013-11-12,968
2015-11-12,1245
2014-06-25,1107
2016-06-25,1107
2013-11-28,1116
2015-11-28,744
2013-08-01,277
2015-08-01,553
2013-08-03,1383
2015-08-03,1245
2013-08-16,1068
2015-08-16,1068
2014-07-23,134
2016-07-23,401
2014-01-06,849
2016-01-06,849
2013-12-02,887
2015-12-02,739
2013-10-03,916
2015-10-03,611
2013-11-13,1068
2015-11-13,763
2013-11-18,261
2015-11-18,130
2014-04-19,391
2016-04-19,391
2014-04-03,830
2016-04-03,692
2013-12-31,1479
2015-12-31,1035
2014-02-04,138
2016-02-04,415
2013-08-18,1383
2015-08-18,968
2014-06-15,1558
2016-06-15,1558
2013-09-15,1574
2015-09-15,1574
2014-05-04,630
2016-05-04,472
2013-08-01,782
2015-08-01,913
2013-11-10,401
2015-11-10,134
2013-12-24,868
2015-12-24,620
2014-05-14,944
2016-05-14,1259
2014-03-13,754
2016-03-13,1005
2013-12-20,1247
2015-12-20,779
2013-07-20,623
2015-07-20,156
2013-10-13,458
2015-10-13,458
2013-09-13,305
2015-09-13,153
2014-05-29,1221
2016-05-29,1526
2014-02-09,692
2016-02-09,415
2014-05-14,130
2016-05-14,130
2013-08-10,846
2015-08-10,604
2014-05-21,782
2016-05-21,391
2014-03-09,916
2016-03-09,1221
2014-05-27,1102
2016-05-27,1417
2013-11-03,1256
2015-11-03,1507
2014-01-25,305
2016-01-25,305
2014-04-23,801
2016-04-23,1068
2014-02-27,157
2016-02-27,157
2013-11-19,1091
2015-11-19,1247
2014-02-13,935
2016-02-13,1202
2013-10-30,1247
2015-10-30,1247
2013-12-28,312
2015-12-28,156
2014-04-15,849
2016-04-15,708
2013-07-01,1107
2015-07-01,1107
2014-04-04,1043
2016-04-04,1304
2014-05-26,1245
2016-05-26,1522
2014-01-30,410
2016-01-30,137
2014-03-15,372
2016-03-15,620
2014-05-01,496
2016-05-01,124
2013-12-07,372
2015-12-07,124
2013-10-23,1247
2015-10-23,1402
2013-10-26,467
2015-10-26,467
2013-07-24,401
2015-07-24,401
2014-01-30,1107
2016-01-30,1245
2014-04-20,415
2016-04-20,138
2013-10-10,652
2015-10-10,391
2014-03-29,744
2016-03-29,620
2013-09-22,248
2015-09-22,124
2013-12-03,935
2015-12-03,534
2014-05-10,124
2016-05-10,372
2014-05-11,992
2016-05-11,744
2013-09-22,1091
2015-09-22,623
2014-04-29,467
2016-04-29,312
2013-09-11,1043
2015-09-11,1173
2013-10-12,467
2015-10-12,467
2013-10-06,124
2015-10-06,124
2013-10-02,935
2015-10-02,779
2013-12-01,623
2015-12-01,935
2013-11-09,153
2015-11-09,153
2014-04-28,1374
2016-04-28,916
2014-05-01,620
2016-05-01,620
2013-10-22,820
2015-10-22,547
2014-02-18,992
2016-02-18,1240
2014-06-14,779
2016-06-14,467
2013-08-19,879
2015-08-19,628
2014-04-16,415
2016-04-16,692
2013-12-08,153
2015-12-08,153
2013-11-15,1245
2015-11-15,830
2013-11-02,1091
2015-11-02,623
2013-09-09,248
2015-09-09,372
2014-04-25,830
2016-04-25,1107
2013-10-04,1068
2015-10-04,763
2013-09-17,391
2015-09-17,391
2013-10-27,1245
2015-10-27,968
2013-09-19,739
2015-09-19,296
2014-07-20,623
2016-07-20,156
2013-10-20,415
2015-10-20,553
2013-12-23,315
2015-12-23,157
2013-08-11,935
2015-08-11,935
2014-02-22,415
2016-02-22,277
2013-12-14,126
2015-12-14,126
2013-10-29,248
2015-10-29,372
2014-04-03,913
2016-04-03,1043
2013-09-23,305
2015-09-23,153
2013-10-18,1383
2015-10-18,1245
2013-12-19,1245
2013-12-19,1245
2015-12-19,830
2015-12-19,1245
2014-05-13,968
2016-05-13,553
2013-12-17,868
2015-12-17,1116
2013-10-21,312
2015-10-21,623
2014-04-13,1116
2016-04-13,1240
2014-01-26,779
2016-01-26,467
2014-04-21,1402
2016-04-21,1091
2014-04-05,623
2016-04-05,156
2014-05-08,156
2016-05-08,156
2013-09-17,968
2015-09-17,968
2013-11-11,1374
2015-11-11,1374
2014-01-11,1035
2016-01-11,591
2014-03-10,1245
2016-03-10,1522
2014-01-04,24
2014-01-04,119
2016-01-04,24
2016-01-04,103
2014-04-26,63
2014-04-26,111
2016-04-26,63
2016-04-26,87
2014-03-25,87
2016-03-25,74
2014-04-03,131
2014-04-03,44
2016-04-03,122
2016-04-03,52
2014-04-10,87
2014-04-10,117
2016-04-10,87
2016-04-10,104
2014-05-16,109
2014-05-16,65
2016-05-16,104
2016-05-16,61
2014-06-17,117
2014-06-17,26
2016-06-17,126
2016-06-17,17
2014-02-12,28
2014-02-12,156
2016-02-12,43
2016-02-12,135
2014-03-11,95
2016-03-11,99
2014-05-18,115
2014-05-18,36
2016-05-18,119
2016-05-18,40
2013-12-09,42
2013-12-09,76
2015-12-09,29
2015-12-09,80
2013-09-30,63
2013-09-30,24
2015-09-30,40
2015-09-30,40
2013-10-24,16
2013-10-24,16
2015-10-24,8
2015-10-24,8
2013-11-01,79
2013-11-01,103
2015-11-01,95
2015-11-01,111
2014-01-21,174
2014-01-21,229
2016-01-21,174
2016-01-21,205
2013-09-24,133
2013-09-24,170
2015-09-24,148
2015-09-24,185
2013-11-28,221
2015-11-28,229
2013-09-17,36
2015-09-17,28
2014-03-21,103
2016-03-21,95
2013-10-28,96
2013-10-28,140
2015-10-28,74
2015-10-28,155
2014-02-08,44
2014-02-08,7
2016-02-08,59
2016-02-08,15
2013-08-05,107
2013-08-05,78
2015-08-05,107
2015-08-05,66
2014-05-12,98
2014-05-12,33
2016-05-12,107
2016-05-12,21
2014-03-15,142
2014-03-15,158
2016-03-15,142
2016-03-15,158
2014-05-29,237
2016-05-29,221
2014-07-28,119
2014-07-28,182
2016-07-28,111
2016-07-28,182
2013-07-29,12
2013-07-29,63
2015-07-29,4
2015-07-29,63
2013-11-26,107
2013-11-26,43
2015-11-26,95
2015-11-26,43
2014-05-04,63
2016-05-04,71
2013-07-16,51
2013-07-16,98
2015-07-16,59
2015-07-16,94
2013-09-06,39
2015-09-06,43
2013-10-22,82
2013-10-22,16
2015-10-22,74
2015-10-22,4
2014-02-13,94
2016-02-13,98
2014-07-07,66
2016-07-07,74
2014-07-08,82
2016-07-08,86
2013-07-29,99
2013-07-29,13
2015-07-29,95
2015-07-29,22
2013-11-27,55
2015-11-27,62
2014-01-18,157
2014-01-18,192
2016-01-18,164
2016-01-18,171
2014-05-21,27
2014-05-21,68
2016-05-21,27
2016-05-21,75
2013-07-01,42
2013-07-01,234
2015-07-01,50
2015-07-01,234
2014-06-13,50
2016-06-13,50
2013-09-28,66
2013-09-28,103
2015-09-28,70
2015-09-28,103
2014-01-15,62
2014-01-15,57
2016-01-15,57
2016-01-15,57
2014-04-24,37
2014-04-24,4
2016-04-24,41
2016-04-24,12
2013-07-05,86
2013-07-05,45
2015-07-05,94
2015-07-05,53
2014-04-20,267
2014-04-20,267
2016-04-20,267
2016-04-20,238
2014-06-27,178
2016-06-27,198
2014-07-09,228
2014-07-09,59
2016-07-09,238
2016-07-09,30
2014-07-26,198
2014-07-26,198
2016-07-26,198
2016-07-26,178
2014-05-26,82
2014-05-26,59
2016-05-26,90
2016-05-26,55
2013-08-04,12
2013-08-04,109
2015-08-04,20
2015-08-04,98
2013-08-11,149
2015-08-11,144
2013-09-07,104
2015-09-07,94
2013-10-02,79
2013-10-02,10
2015-10-02,64
2015-10-02,5
2013-11-29,79
2013-11-29,5
2015-11-29,74
2015-11-29,15
2014-05-01,35
2016-05-01,45
2014-06-05,89
2014-06-05,25
2016-06-05,99
2016-06-05,25
2014-06-30,94
2014-06-30,69
2016-06-30,104
2016-06-30,69
2014-07-02,54
2014-07-02,109
2016-07-02,45
2016-07-02,104
2013-07-09,45
2013-07-09,49
2015-07-09,33
2015-07-09,49
2014-06-05,16
2014-06-05,57
2016-06-05,16
2016-06-05,49
2013-07-03,23
2013-07-03,55
2015-07-03,31
2015-07-03,55
2013-07-06,53
2013-07-06,119
2015-07-06,45
2015-07-06,111
2013-09-27,111
2013-09-27,17
2015-09-27,119
2015-09-27,9
2014-01-13,64
2014-01-13,68
2016-01-13,55
2016-01-13,60
2014-07-16,151
2014-07-16,25
2016-07-16,134
2016-07-16,25
2013-11-02,37
2013-11-02,115
2015-11-02,29
2015-11-02,123
2014-06-05,178
2014-06-05,248
2016-06-05,168
2016-06-05,218
2013-08-15,35
2015-08-15,52
2014-01-23,60
2014-01-23,95
2016-01-23,78
2016-01-23,112
2014-02-22,112
2014-02-22,86
2016-02-22,95
2016-02-22,86
2014-03-29,181
2014-03-29,43
2016-03-29,190
2016-03-29,26
2014-04-07,251
2014-04-07,190
2016-04-07,233
2016-04-07,173
2014-05-05,86
2014-05-05,251
2016-05-05,104
2016-05-05,233
2014-06-24,103
2014-06-24,53
2016-06-24,90
2016-06-24,45
2013-10-17,189
2013-10-17,219
2015-10-17,181
2015-10-17,204
2014-05-01,204
2014-05-01,98
2016-05-01,212
2016-05-01,76
2014-05-29,204
2014-05-29,212
2016-05-29,189
2016-05-29,227
2014-06-16,166
2016-06-16,144
2014-02-28,67
2014-02-28,159
2016-02-28,75
2016-02-28,159
2013-08-18,110
2015-08-18,119
2013-08-07,33
2013-08-07,16
2015-08-07,49
2015-08-07,8
2013-11-27,180
2013-11-27,197
2015-11-27,197
2015-11-27,180
2014-07-04,62
2014-07-04,37
2016-07-04,49
2016-07-04,45
2014-02-03,156
2014-02-03,17
2016-02-03,130
2016-02-03,26
2014-03-14,181
2014-03-14,95
2016-03-14,173
2016-03-14,78
2013-07-22,106
2013-07-22,265
2015-07-22,88
2015-07-22,238
2013-08-12,18
2013-08-12,36
2015-08-12,9
2015-08-12,53
2014-02-17,130
2014-02-17,74
2016-02-17,121
2016-02-17,74
2013-11-06,94
2015-11-06,110
2013-12-04,133
2015-12-04,125
2014-02-01,7
2016-02-01,7
2014-05-04,7
2014-05-04,44
2016-05-04,22
2016-05-04,44
2014-03-12,88
2014-03-12,37
2016-03-12,79
2016-03-12,47
2014-06-03,126
2014-06-03,140
2016-06-03,130
2016-06-03,144
2014-03-30,45
2014-03-30,79
2016-03-30,50
2016-03-30,79
2014-04-02,144
2014-04-02,15
2016-04-02,139
2016-04-02,5
2013-08-16,192
2015-08-16,207
2014-06-01,125
2014-06-01,96
2016-06-01,118
2016-06-01,89
2013-07-05,66
2013-07-05,37
2015-07-05,66
2015-07-05,37
2013-12-31,21
2013-12-31,41
2015-12-31,29
2015-12-31,45
2013-07-08,159
2013-07-08,189
2015-07-08,166
2015-07-08,197
2014-01-04,227
2016-01-04,204
2013-07-06,74
2013-07-06,22
2015-07-06,78
2015-07-06,26
2013-07-31,122
2013-07-31,100
2015-07-31,122
2015-07-31,109
2013-10-14,35
2013-10-14,39
2015-10-14,22
2015-10-14,26
2013-12-02,126
2013-12-02,83
2015-12-02,113
2015-12-02,87
2014-02-23,122
2014-02-23,70
2016-02-23,113
2016-02-23,57
2014-03-15,109
2014-03-15,22
2016-03-15,104
2016-03-15,22
2014-04-09,113
2016-04-09,109
2013-11-30,57
2013-11-30,90
2015-11-30,53
2015-11-30,94
2013-11-25,13
2013-11-25,120
2015-11-25,18
2015-11-25,116
2013-08-10,111
2013-08-10,148
2015-08-10,89
2015-08-10,133
2014-01-26,103
2014-01-26,96
2016-01-26,89
2016-01-26,81
2013-10-14,232
2015-10-14,223
2013-12-21,160
2015-12-21,143
2014-01-03,134
2016-01-03,143
2014-01-11,143
2014-01-11,45
2016-01-11,134
2016-01-11,62
2014-04-16,160
2016-04-16,143
2014-05-15,62
2016-05-15,80
2014-05-23,151
2014-05-23,249
2016-05-23,143
2016-05-23,249
2014-06-27,98
2016-06-27,116
2014-07-21,160
2014-07-21,27
2016-07-21,178
2016-07-21,9
2013-08-13,25
2013-08-13,109
2015-08-13,30
2015-08-13,114
2013-09-09,74
2013-09-09,149
2015-09-09,79
2015-09-09,134
2013-09-19,35
2013-09-19,114
2015-09-19,25
2015-09-19,119
2013-11-17,50
2013-11-17,139
2015-11-17,35
2015-11-17,129
2013-12-10,40
2015-12-10,45
2013-12-13,124
2013-12-13,134
2015-12-13,109
2015-12-13,144
2013-12-24,15
2013-12-24,40
2015-12-24,5
2015-12-24,50
2013-12-28,134
2015-12-28,119
2013-09-13,139
2013-09-13,124
2015-09-13,144
2015-09-13,124
2013-10-17,144
2015-10-17,134
2013-12-11,124
2013-12-11,74
2015-12-11,129
2015-12-11,59
2014-06-28,20
2014-06-28,15
2016-06-28,15
2016-06-28,10
2013-10-01,59
2013-10-01,99
